Kurum Adı,İlçe,Kurum Türü,Adres,Telefon 1,Web Sitesi
ÖZEL BÜYÜKADA RUM İLKOKULU,ADALAR,Özel Rum İlkokulu,MADEN MAH. ÇINAR MEYDANI SK.  NO: 15  İÇ KAPI NO: 1 ADALAR / İSTANBUL,(216) 382 64 82,
ÖZEL HEYBELİADA RUM ERKEK LİSESİ,ADALAR,Özel Rum Ortaöğretim Kurumu,HEYBELİADA MAH. ÜMİT TEPESİ SK. RUHBAN OKULU BLOK  NO: 5  İÇ KAPI NO: 1 ADALAR / İSTANBUL,(216) 351 84 17,
ARNAVUTKÖY BEŞ YILDIZ ÖZEL ÖĞRETİM KURSU,ARNAVUTKÖY,Özel Öğretim Kursu,ANADOLU MAH. CİNAN SK. NO: 12A İÇ KAPI NO: 5 ARNAVUTKÖY / İSTANBUL (DİĞER İÇ KAPILAR: 6),(552) 178 53 55,
ARNAVUTKÖY OĞUZ FEN BİLİMLERİ ÖZEL ÖĞRETİM KURSU,ARNAVUTKÖY,Özel Öğretim Kursu,İSLAMBEY MAH. FATİH CAD. - SİTESİ NO: 48 İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL,(212) 597 30 03,
HADIMKÖY FİNAL ÖZEL ÖĞRETİM KURSU,ARNAVUTKÖY,Özel Öğretim Kursu,HASTANE  MAH. AYASOFYA CAD. - SİTESİ NO: 19-23 İÇ KAPI NO: 27 ARNAVUTKÖY / İSTANBUL (DİĞER İÇ KAPILAR: 28-29-30-31-32-33-34-35-36-37-38),(533) 170 02 09,
KÜLTÜR ÖZEL ÖĞRETİM KURSU,ARNAVUTKÖY,Özel Öğretim Kursu,ARNAVUTKÖY MERKEZ MAH. NİŞAN SK. NO: 15 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL (DİĞER İÇ KAPILAR: 2-3-4-5-6-7),(212) 597 59 94,
ÖZEL ABDULLAH KARA ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,ARNAVUTKÖY,Özel Yurt,TAŞOLUK MAH. İSTANBUL SOK. NO: 53 /1 ARNAVUTKÖY/İSTANBUL,(212) 682 07 07,
ÖZEL AKGÜNEŞ ÖZEL EĞİTİM VE REHABİLİTASYON MERKEZİ,ARNAVUTKÖY,Özel Eğitim ve  Rehabilitasyon Merkezi,ARNAVUTKÖY MERKEZ MAH. DÜLDÜL SK. NO: 13A ARNAVUTKÖY / İSTANBUL,(212) 597 91 36,
ÖZEL AKSA İLKOKULU,ARNAVUTKÖY,Özel Türk İlkokulu,MEHMET AKİF ERSOY MAH. CANGÜL SK. ÖZEL AKSA OKULLARI NO: 5 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 597 25 72,
ÖZEL AKSA ORTAOKULU,ARNAVUTKÖY,Özel Türk Ortaokulu,MEHMET AKİF ERSOY MAH. CANGÜL SK. ÖZEL AKSA OKULLARI NO: 5 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 597 25 72,
ÖZEL ALTIN DAMLASI ANAOKULU,ARNAVUTKÖY,Özel Türk Okul Öncesi Kurumu,KARLIBAYIR MAH. TAHSİN SK. - SİTESİ - BLOK  NO: 6  İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 683 10 08,www.altindamlasianaokulu.k12.tr/
ÖZEL ARNAVUTKÖY  ORTAOKUL ERKEK ÖĞRENCİ  YURDU,ARNAVUTKÖY,Özel Yurt,ARNAVUTKÖY MERKEZ MAH. ADAŞ SOK. NO: 4 / ARNAVUTKÖY/İSTANBUL,(212) 597 02 38,www.arnyurt.com
ÖZEL ARNAVUTKÖY AKADEMİ KİŞİSEL GELİŞİM KURSU,ARNAVUTKÖY,Özel Muhtelif Kurslar,ARNAVUTKÖY MERKEZ MAH. ESKİ EDİRNE ASFALTI CAD. - SİTESİ - BLOK  NO: 1211  İÇ KAPI NO: 6 ARNAVUTKÖY / İSTANBUL,(546) 465 61 29,
ÖZEL ARNAVUTKÖY AMERİKANCA KÜLTÜR YABANCI DİL VE KİŞİSEL GELİŞİM KURSU,ARNAVUTKÖY,Özel Muhtelif Kurslar,ANADOLU MAH. HOCA AHMET YESEVİ CAD. NO: 12 İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL (DİĞER İÇ KAPILAR: 3-4),(212) 567 70 90,
ÖZEL ARNAVUTKÖY BİREY KİŞİSEL GELİŞİM KURSU,ARNAVUTKÖY,Özel Muhtelif Kurslar,ANADOLU MAH. ESKİ EDİRNE ASFALTI CAD.  NO: 1306  İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL (DİĞER İÇ KAPILAR: 3-4-5),(212) 597 40 97,
ÖZEL ARNAVUTKÖY CANEVİM ÖZEL EĞİTİM VE REHABİLİTASYON MERKEZİ,ARNAVUTKÖY,Özel Eğitim ve  Rehabilitasyon Merkezi,KARLIBAYIR MAH. HOŞ SK. - SİTESİ - NO: 9 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL (DİĞER İÇ KAPILAR: 2-3-4),(542) 134 75 26,
ÖZEL ARNAVUTKÖY CEBECİ ÖZEL EĞİTİM VE REHABİLİTASYON MERKEZİ,ARNAVUTKÖY,Özel Eğitim ve  Rehabilitasyon Merkezi,MUSTAFA KEMAL PAŞA MAH. FATİH CAD. NO: 69A ARNAVUTKÖY / İSTANBUL,(549) 572 34 25,
ÖZEL ARNAVUTKÖY ÇAREM ÖZEL EĞİTİM VE REHABİLİTASYON MERKEZİ,ARNAVUTKÖY,Özel Eğitim ve  Rehabilitasyon Merkezi,İSLAMBEY MAH. HÜKÜMET SK.  NO: 10 A-  İÇ KAPI NO: 1- ARNAVUTKÖY / İSTANBUL,(212) 597 77 27,caremrehabilitasyon.com.tr
