ID,İl,İlçe,Kurum Adı,Kurum Türü,Adres,Telefon 1,Telefon 2,Kurum Kodu,Web Sitesi
1,İSTANBUL,ADALAR,ÖZEL BÜYÜKADA RUM İLKOKULU,Özel Rum İlkokulu,MADEN MAH. ÇINAR MEYDANI SK.  NO: 15  İÇ KAPI NO: 1 ADALAR / İSTANBUL,(216) 382 64 82,(216) 382 64 82,1068752318,
2,İSTANBUL,ADALAR,ÖZEL HEYBELİADA RUM ERKEK LİSESİ,Özel Rum Ortaöğretim Kurumu,HEYBELİADA MAH. ÜMİT TEPESİ SK. RUHBAN OKULU BLOK  NO: 5  İÇ KAPI NO: 1 ADALAR / İSTANBUL,(216) 351 84 17,,1947123053,
3,İSTANBUL,ARNAVUTKÖY,ARNAVUTKÖY BEŞ YILDIZ ÖZEL ÖĞRETİM KURSU,Özel Öğretim Kursu,ANADOLU MAH. CİNAN SK. NO: 12A İÇ KAPI NO: 5 ARNAVUTKÖY / İSTANBUL (DİĞER İÇ KAPILAR: 6),(552) 178 53 55,,5191290336,
4,İSTANBUL,ARNAVUTKÖY,ARNAVUTKÖY OĞUZ FEN BİLİMLERİ ÖZEL ÖĞRETİM KURSU,Özel Öğretim Kursu,İSLAMBEY MAH. FATİH CAD. - SİTESİ NO: 48 İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL,(212) 597 30 03,,3298918354,
5,İSTANBUL,ARNAVUTKÖY,HADIMKÖY FİNAL ÖZEL ÖĞRETİM KURSU,Özel Öğretim Kursu,HASTANE  MAH. AYASOFYA CAD. - SİTESİ NO: 19-23 İÇ KAPI NO: 27 ARNAVUTKÖY / İSTANBUL (DİĞER İÇ KAPILAR: 28-29-30-31-32-33-34-35-36-37-38),(533) 170 02 09,,3777705611,
6,İSTANBUL,ARNAVUTKÖY,KÜLTÜR ÖZEL ÖĞRETİM KURSU,Özel Öğretim Kursu,ARNAVUTKÖY MERKEZ MAH. NİŞAN SK. NO: 15 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL (DİĞER İÇ KAPILAR: 2-3-4-5-6-7),(212) 597 59 94,,5238965577,
7,İSTANBUL,ARNAVUTKÖY,ÖZEL ABDULLAH KARA ORTAÖĞRETİM ERKEK ÖĞRENCİ YURDU,Özel Yurt,TAŞOLUK MAH. İSTANBUL SOK. NO: 53 /1 ARNAVUTKÖY/İSTANBUL,(212) 682 07 07,,1607279278,
8,İSTANBUL,ARNAVUTKÖY,ÖZEL AKGÜNEŞ ÖZEL EĞİTİM VE REHABİLİTASYON MERKEZİ,Özel Eğitim ve  Rehabilitasyon Merkezi,ARNAVUTKÖY MERKEZ MAH. DÜLDÜL SK. NO: 13A ARNAVUTKÖY / İSTANBUL,(212) 597 91 36,,2730735616,
9,İSTANBUL,ARNAVUTKÖY,ÖZEL AKSA İLKOKULU,Özel Türk İlkokulu,MEHMET AKİF ERSOY MAH. CANGÜL SK. ÖZEL AKSA OKULLARI NO: 5 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 597 25 72,,2573551237,
10,İSTANBUL,ARNAVUTKÖY,ÖZEL AKSA ORTAOKULU,Özel Türk Ortaokulu,MEHMET AKİF ERSOY MAH. CANGÜL SK. ÖZEL AKSA OKULLARI NO: 5 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 597 25 72,,2573551237,
